timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
364270280,-0.261025,-0.210946,-0.00745049,4000,0,1.64323,-12.5952,-9.41675,4000
364274280,-0.393225,-0.318366,0.00810504,4000,0,-10.0001,13.3985,-5.17399,4000
364278277,0.088494,-0.17893,-0.00440801,3997,0,5.67133,2.49787,-16.3018,3997
364282281,0.0380001,-0.370658,0.0264952,4004,0,3.91959,-15.8944,-5.92716,4004
364287086,-0.628904,-0.119398,0.126643,4805,0,-7.1182,7.92873,-7.56524,4805
364291088,0.218058,-0.209683,-0.187671,4002,0,4.33484,10.237,-16.7931,4002
364295082,0.293604,-0.25575,0.00487996,3994,0,4.06329,-18.0283,-4.3472,3994
364299080,-0.790854,0.00427387,0.0992958,3998,0,-7.84468,-4.49892,-11.4817,3998
364303078,-0.276431,-0.200253,-0.167417,3998,0,0.0513778,24.9677,-14.2667,3998
364307081,0.6417,-0.0701676,-0.00739317,4003,0,5.89333,-7.46569,-2.75431,4003
364311076,-0.12651,0.134463,0.137865,3995,0,-3.72868,-25.1941,-14.0166,3995
364315039,-0.825159,-0.178087,-0.202348,3963,0,-5.04809,26.7061,-8.63871,3963
364319082,0.805486,0.160689,-0.0875962,4043,0,2.31327,13.786,-8.52153,4043
364323080,0.71208,0.243767,0.311209,3998,0,4.22581,-42.0637,-11.1908,3998
364327078,-1.22635,-0.100815,-0.35343,3998,0,-1.41871,10.6864,-6.36385,3998
364331081,0.570802,0.0325315,-0.358252,4003,0,-9.41114,41.2093,-12.6735,4003
364335076,1.25946,0.491287,0.611373,3995,0,7.06546,-38.4495,-8.40876,3995
364339883,-0.854142,-0.178762,-0.3178,4807,0,5.71502,-6.11388,-9.23219,4807
364343881,0.448206,0.0289051,-0.409996,3998,0,-19.4865,46.9831,-9.97046,3998
364347884,1.35554,0.714654,0.747183,4003,0,9.25828,-38.8129,-10.1097,4003
364351876,-0.423898,-0.161889,-0.245079,3992,0,17.639,-16.6869,-8.50063,3992
364355878,-0.281544,-0.321181,-0.453544,4002,0,-22.4519,45.2587,-9.94986,4002
364359879,1.39322,0.612671,0.481776,4001,0,-4.82855,-19.2136,-9.62532,4001
364363881,-0.0792668,0.142476,0.106557,4002,0,26.656,-26.7023,-10.882,4002
364367882,-0.536572,-0.577062,-0.417174,4001,0,-13.915,33.572,-6.5996,4001
364371884,1.0912,0.274042,0.222283,4002,0,-15.4073,-2.70332,-12.755,4002
364375880,0.0910161,0.261233,0.388612,3996,0,24.7877,-22.0035,-9.05566,3996
364379881,-0.180035,-0.531269,-0.29721,4001,0,-3.42234,14.1244,-8.11877,4001
364384676,0.286514,-0.164899,0.0685334,4795,0,-10.052,-4.46662,-11.3641,4795
364388646,-0.155105,-0.0269294,0.0931279,3970,0,13.8804,1.92087,-9.97944,3970
364392677,0.383507,-0.152873,-0.136938,4031,0,-4.90708,0.284693,-7.71969,4031
364396675,-0.235033,-0.347357,-0.021969,3998,0,-2.08056,-8.25656,-10.1564,3998
364400677,-0.109029,-0.267714,-0.138775,4002,0,3.89374,11.2819,-11.4208,4002
364404676,0.332462,-0.212451,0.0719412,3999,0,-0.736614,-7.577,-7.77973,3999
364408677,-0.625145,-0.253965,-0.0242189,4001,0,-1.48195,-8.46442,-10.2265,4001
364412675,-0.140883,-0.276089,-0.173953,3998,0,-1.41333,17.897,-12.7101,3998
364416646,0.147823,-0.0719515,0.19135,3971,0,2.17711,-6.70458,-6.15978,3971
364421459,-0.44602,-0.316491,-0.122184,4813,0,0.697203,-9.52766,-12.0929,4813
