timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
390057630,390057483,0.00133612,-0.118282,-0.16906,0.195565,0.0,0.0,0.0,1.0
390159244,390159042,-0.12774,-0.0605942,-0.207049,0.207386,0.0,0.0,0.0,1.0
390260802,390260645,-0.113794,-0.067423,-0.120196,0.201273,0.0,0.0,0.0,1.0
390362413,390362262,0.0462754,-0.186989,-0.263694,0.202083,0.0,0.0,0.0,1.0
390464029,390463883,-0.0538284,-0.140468,-0.211956,0.206971,0.0,0.0,0.0,1.0
390565622,390565481,-0.435979,-0.0120672,-0.297319,0.205371,0.0,0.0,0.0,1.0
390668015,390667866,0.0841924,0.105425,-0.112866,0.210211,0.0,0.0,0.0,1.0
390769625,390769476,-0.0300155,-0.145477,-0.352737,0.208668,0.0,0.0,0.0,1.0
390871230,390871083,0.153259,-0.0823677,-0.106335,0.19411,0.0,0.0,0.0,1.0
390972835,390972677,-0.159678,-0.08832,-0.33389,0.200286,0.0,0.0,0.0,1.0
391075236,391075081,-0.244706,-0.179309,-0.238532,0.213081,0.0,0.0,0.0,1.0
391176819,391176676,0.0497312,0.0694454,-0.142607,0.223518,0.0,0.0,0.0,1.0
391278426,391278277,0.260633,0.0135881,-0.339368,0.229739,0.0,0.0,0.0,1.0
391380035,391379884,-0.00526874,-0.00240053,-0.0935896,0.220627,0.0,0.0,0.0,1.0
391477608,391477476,-0.0187532,-0.099215,-0.219773,0.228731,0.0,0.0,0.0,1.0
391579287,391579080,-0.119316,-0.0566225,-0.12006,0.223995,0.0,0.0,0.0,1.0
391681638,391681482,0.090023,0.150277,0.0883481,0.233894,0.0,0.0,0.0,1.0
391783187,391783036,-0.31539,-0.216056,-0.168892,0.22474,0.0,0.0,0.0,1.0
391884802,391884647,0.0655925,0.0033008,-0.164301,0.222806,0.0,0.0,0.0,1.0
391986420,391986261,-0.0326448,0.0123152,-0.0690895,0.210735,0.0,0.0,0.0,1.0
392087992,392087837,0.0830323,-0.0739553,-0.147555,0.21384,0.0,0.0,0.0,1.0
392190425,392190278,-0.113112,-0.0892201,0.0044459,0.207631,0.0,0.0,0.0,1.0
392292011,392291862,-0.115846,-0.134525,-0.214989,0.194331,0.0,0.0,0.0,1.0
392393631,392393483,0.133683,-0.0541172,-0.11703,0.198147,0.0,0.0,0.0,1.0
392495232,392495082,0.0159934,0.078553,0.0935021,0.204649,0.0,0.0,0.0,1.0
392597603,392597461,-0.202893,-0.000378892,-0.343436,0.212889,0.0,0.0,0.0,1.0
392699279,392699084,0.270157,-0.0470242,0.0547615,0.206072,0.0,0.0,0.0,1.0
392800829,392800678,-0.0801357,-0.0420115,-0.140576,0.202764,0.0,0.0,0.0,1.0
392902422,392902276,0.0385282,-0.0716679,-0.143399,0.213919,0.0,0.0,0.0,1.0
393004001,393003860,-0.137848,-0.084752,-0.33224,0.215972,0.0,0.0,0.0,1.0
393101643,393101485,0.000614829,-0.269927,-0.29324,0.214861,0.0,0.0,0.0,1.0
393204029,393203879,-0.044333,-0.142114,-0.149865,0.223497,0.0,0.0,0.0,1.0
393305593,393305461,-0.0504762,-0.0244946,-0.132779,0.223216,0.0,0.0,0.0,1.0
393407199,393407048,-0.327202,-0.196476,-0.223892,0.214536,0.0,0.0,0.0,1.0
393508813,393508648,-0.11071,0.0168838,-0.108183,0.222961,0.0,0.0,0.0,1.0
393610422,393610283,-0.219516,-0.176536,-0.278575,0.22787,0.0,0.0,0.0,1.0
393712833,393712684,0.200568,0.0673948,-0.0326417,0.200768,0.0,0.0,0.0,1.0
393814429,393814276,-0.0181477,-0.0832604,-0.260171,0.195235,0.0,0.0,0.0,1.0
393916021,393915876,-0.0494705,-0.0894641,-0.164901,0.193824,0.0,0.0,0.0,1.0
394017609,394017461,0.0467562,-0.080649,0.013933,0.192905,0.0,0.0,0.0,1.0
394119986,394119840,-0.0359644,-0.0588535,-0.222119,0.199559,0.0,0.0,0.0,1.0
394221619,394221477,-0.0398054,-0.0178552,-0.0604087,0.212962,0.0,0.0,0.0,1.0
394323214,394323063,-0.063519,-6.99386e-05,-0.131025,0.215569,0.0,0.0,0.0,1.0
394424818,394424676,-0.00772344,-0.0636607,-0.0950489,0.219133,0.0,0.0,0.0,1.0
